Survey Year,Timestamp, SalaryUSD ,Country,PostalCode,PrimaryDatabase,YearsWithThisDatabase,OtherDatabases,EmploymentStatus,JobTitle,ManageStaff,YearsWithThisTypeOfJob,HowManyCompanies,OtherPeopleOnYourTeam,CompanyEmployeesOverall,DatabaseServers,Education,EducationIsComputerRelated,Certifications,HoursWorkedPerWeek,TelecommuteDaysPerWeek,NewestVersionInProduction,OldestVersionInProduction,PopulationOfLargestCityWithin20Miles,EmploymentSector,LookingForAnotherJob,CareerPlansThisYear,Gender,OtherJobDuties,KindsOfTasksPerformed,Counter
2020,12/24/2019 10:03:28,  94.000 ,United States,17110,Microsoft SQL Server,17,,Full time employee,Manager,Yes,4,1 (this is the only company where I've had this kind of position),None,Not Asked,52,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2014,20K-99K (large town),State/province government,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/24/2019 7:04:46,  77.000 ,United States,67202,Microsoft SQL Server,2,Microsoft Access,Full time employee,Analyst,No,2,1 (this is the only company where I've had this kind of position),3,Not Asked,2,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2012,300K-1M (large city),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/24/2019 6:16:19,  2.000 ,Turkey,,Microsoft SQL Server,7,"MySQL/MariaDB, PostgreSQL, MongoDB, Amazon RDS (any flavor)",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),Yes,7,6 or more,1,Not Asked,50,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2014,1M+ (metropolis),Private business,Not Asked,"Stay with the same role, but change employers",Female,Not Asked,Not Asked,1
2020,12/24/2019 4:53:33,  36.000 ,Serbia and Montenegro,,Microsoft SQL Server,12,,Full time employee,"Developer: App code (C#, JS, etc)",Yes,12,2 (I worked at another similar position elsewhere before this one),None,Not Asked,5,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2012,SQL Server 2012,1M+ (metropolis),Private business,Not Asked,Prefer not to say,Male,Not Asked,Not Asked,1
2020,12/24/2019 3:23:33,  36.000 ,Ukraine,,Microsoft SQL Server,6,Azure SQL DB (any flavor),Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,6,1 (this is the only company where I've had this kind of position),None,Not Asked,11,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2012,1M+ (metropolis),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/24/2019 2:45:54,  58.200 ,United Kingdom,LE3 8PL,Microsoft SQL Server,20,CosmosDB,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,20,6 or more,2,Not Asked,6,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2012,300K-1M (large city),Private business,Not Asked,"Stay with the same role, but change employers",Male,Not Asked,Not Asked,1
2020,12/23/2019 15:01:40,  112.000 ,United States,07950,Microsoft SQL Server,25,,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,25,3,None,Not Asked,20,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2014,1M+ (metropolis),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/23/2019 14:37:12,  61.000 ,Canada,T2Z 0W5,Microsoft SQL Server,10,Microsoft Access,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,7,2 (I worked at another similar position elsewhere before this one),None,Not Asked,4,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2016,1M+ (metropolis),Private business,Not Asked,"Stay with the same employer,  but change roles",Male,Not Asked,Not Asked,1
2020,12/23/2019 11:43:08,  148.000 ,United States,85281,Microsoft SQL Server,8,"Oracle, PostgreSQL, SAP HANA, Azure SQL DB (any flavor)",Full time employee,Manager,Yes,5,3,None,Not Asked,75,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2008R2,1M+ (metropolis),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/23/2019 11:03:00,  98.000 ,United States,805,Microsoft SQL Server,6,,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,7,2 (I worked at another similar position elsewhere before this one),3,Not Asked,20,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2012,100K-299K (city),Private business,Not Asked,"Stay with the same employer, same role",Prefer not to say,Not Asked,Not Asked,1
2020,12/23/2019 5:17:24,  70.022 ,Luxembourg,2349,Microsoft SQL Server,2,"Microsoft SQL Server, Oracle, PostgreSQL, DB2, Microsoft Access",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),Yes,2,1 (this is the only company where I've had this kind of position),1,Not Asked,150,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2008R2,300K-1M (large city),State/province government,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/23/2019 1:51:36,  92.000 ,Sweden,74142,Microsoft SQL Server,12,,Full time employee of a consulting/contracting company,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,12,2 (I worked at another similar position elsewhere before this one),More than 5,Not Asked,800,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2008,SQL Server 2012,1M+ (metropolis),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/23/2019 1:51:03,  125.400 ,United States,55408,Other,5,"Microsoft SQL Server, Azure SQL DB (any flavor)",Full time employee of a consulting/contracting company,"Developer: Business Intelligence (SSRS, PowerBI, etc)",Yes,5,2 (I worked at another similar position elsewhere before this one),More than 5,Not Asked,12,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2016,300K-1M (large city),Private business,Not Asked,"Stay with the same employer,  but change roles",Male,Not Asked,Not Asked,1
2020,12/22/2019 17:13:07,  134.000 ,United States,750,Microsoft SQL Server,15,Microsoft SQL Server,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,10,4,3,Not Asked,10,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2008R2,1M+ (metropolis),Private business,Not Asked,"Stay with the same role, but change employers",Male,Not Asked,Not Asked,1
2020,12/22/2019 12:22:58,  55.000 ,Poland,,Microsoft SQL Server,10,"Oracle, Azure SQL DB (any flavor)","Independent consultant, contractor, freelancer,  or company owner",DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,10,3,3,Not Asked,500,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2008,300K-1M (large city),Private business,Not Asked,"Stay with the same role, but change employers",Male,Not Asked,Not Asked,1
2020,12/21/2019 22:10:28,  135.000 ,United States,,Oracle,18,"Microsoft SQL Server, Oracle, MongoDB, Amazon RDS (any flavor)",Full time employee,Manager,Yes,5,3,4,Not Asked,50,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2012,300K-1M (large city),Private business,Not Asked,Prefer not to say,Male,Not Asked,Not Asked,1
2020,12/21/2019 14:40:06,  88.000 ,Ireland,,Microsoft SQL Server,20,DB2,Full time employee,"Developer: App code (C#, JS, etc)",Yes,23,6 or more,More than 5,Not Asked,10,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2016,100K-299K (city),Private business,Not Asked,Change both employers and roles,Male,Not Asked,Not Asked,1
2020,12/21/2019 11:00:08,  36.000 ,Slovakia,,Microsoft SQL Server,5,Microsoft SQL Server,Full time employee,Developer: T-SQL,Yes,3,4,3,Not Asked,15,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2012,300K-1M (large city),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/21/2019 9:32:31,  50.000 ,Costa Rica,,Microsoft SQL Server,9,"Oracle, PostgreSQL, MongoDB",Full time employee,Engineer,No,3,1 (this is the only company where I've had this kind of position),More than 5,Not Asked,10,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2012,300K-1M (large city),Private business,Not Asked,Prefer not to say,Male,Not Asked,Not Asked,1
2020,12/21/2019 4:29:28,  14.059 ,India,,Microsoft SQL Server,6,"Microsoft SQL Server, Azure SQL DB (any flavor)",Full time employee,Developer: T-SQL,No,6,3,None,Not Asked,3,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2008R2,300K-1M (large city),Private business,Not Asked,Change both employers and roles,Male,Not Asked,Not Asked,1
2020,12/21/2019 4:27:44,  115.000 ,South Africa,7441,Microsoft SQL Server,24,"Microsoft SQL Server, MySQL/MariaDB, PostgreSQL, Amazon RDS (any flavor), Amazon Redshift",Full time employee of a consulting/contracting company,"DBA (Development Focus - tunes queries, indexes, does deployments)",Yes,15,3,2,Not Asked,40,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2008R2,1M+ (metropolis),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/21/2019 2:42:20,  33.000 ,United Kingdom,Mk10 7GR,Microsoft SQL Server,1,"Microsoft SQL Server, Microsoft Access, Azure SQL DB (any flavor)",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,1,1 (this is the only company where I've had this kind of position),2,Not Asked,30,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2008,100K-299K (city),Private business,Not Asked,"Stay with the same employer,  but change roles",Female,Not Asked,Not Asked,1
2020,12/20/2019 20:06:58,  83.000 ,United States,99205,Microsoft SQL Server,7,CosmosDB,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,7,1 (this is the only company where I've had this kind of position),None,Not Asked,60,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2012,300K-1M (large city),Non-profit,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/20/2019 18:00:01,  125.000 ,United States,77581,Microsoft SQL Server,20,"Microsoft SQL Server, Oracle, Microsoft Access, Azure SQL DB (any flavor)","Independent consultant, contractor, freelancer,  or company owner",Architect,No,20,6 or more,None,Not Asked,100,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2019,SQL Server 2008R2,1M+ (metropolis),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/20/2019 12:53:40,  71.400 ,United States,65201,Microsoft SQL Server,11,"Microsoft SQL Server, MySQL/MariaDB, MongoDB",Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,2,1 (this is the only company where I've had this kind of position),5,Not Asked,300,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2014,100K-299K (city),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/20/2019 9:34:53,  95.500 ,United States,06824,Microsoft SQL Server,8,"Oracle, Azure SQL DB (any flavor)",Full time employee,Developer: T-SQL,No,8,3,1,Not Asked,20,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2008,100K-299K (city),Private business,Not Asked,"Stay with the same employer,  but change roles",Male,Not Asked,Not Asked,1
2020,12/20/2019 9:18:38,  137.000 ,United States,80111,Microsoft SQL Server,20,,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,20,5,None,Not Asked,50,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2012,300K-1M (large city),Private business,Not Asked,"Stay with the same employer, same role",Female,Not Asked,Not Asked,1
2020,12/20/2019 9:03:57,  75.000 ,United States,97239,Microsoft SQL Server,3,,Full time employee,Analyst,No,3,1 (this is the only company where I've had this kind of position),4,Not Asked,2,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2014,SQL Server 2008R2,300K-1M (large city),Private business,Not Asked,"Stay with the same employer,  but change roles",Male,Not Asked,Not Asked,1
2020,12/20/2019 8:31:43,  105.000 ,Norway,,Other,15,"Microsoft SQL Server, MySQL/MariaDB, Sybase ASE",Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,15,1 (this is the only company where I've had this kind of position),1,Not Asked,55,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,2005,"<= 20,000 (town)",Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/20/2019 4:34:16,  94.500 ,United States,435,Microsoft SQL Server,25,Azure SQL DB (any flavor),Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,25,2 (I worked at another similar position elsewhere before this one),1,Not Asked,3,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2014,100K-299K (city),Private business,Not Asked,Change both employers and roles,Male,Not Asked,Not Asked,1
2020,12/19/2019 18:56:15,  50.000 ,United States,,Microsoft SQL Server,1,,Full time employee,Analyst,No,1,1 (this is the only company where I've had this kind of position),More than 5,Not Asked,3,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2016,300K-1M (large city),Private business,Not Asked,Prefer not to say,Male,Not Asked,Not Asked,1
2020,12/19/2019 17:14:26,  100.000 ,United States,480,Microsoft SQL Server,13,,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,3,2 (I worked at another similar position elsewhere before this one),None,Not Asked,6,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2008R2,300K-1M (large city),Private business,Not Asked,"Stay with the same role, but change employers",Male,Not Asked,Not Asked,1
2020,12/19/2019 16:12:18,  134.000 ,United States,,Microsoft SQL Server,20,"MySQL/MariaDB, MongoDB, Azure SQL DB (any flavor), CosmosDB",Full time employee,Architect,Yes,1,1 (this is the only company where I've had this kind of position),None,Not Asked,10,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2019,SQL Server 2012,1M+ (metropolis),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/19/2019 13:23:14,  115.000 ,United States,76248,Microsoft SQL Server,15,"Oracle, AS 400",Full time employee of a consulting/contracting company,Engineer,Yes,15,6 or more,1,Not Asked,50,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2008R2,1M+ (metropolis),Private business,Not Asked,"Stay with the same role, but change employers",Male,Not Asked,Not Asked,1
2020,12/19/2019 13:17:08,  78.000 ,United States,65714,Microsoft SQL Server,9,"Microsoft SQL Server, Oracle, Microsoft Access, Azure SQL DB (any flavor)",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),Yes,4,2 (I worked at another similar position elsewhere before this one),1,Not Asked,55,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2008R2,300K-1M (large city),Private business,Not Asked,"Stay with the same employer,  but change roles",Male,Not Asked,Not Asked,1
2020,12/19/2019 12:29:22,  95.000 ,United States,19475,Microsoft SQL Server,13,"SQLite, Sybase/SAP SQL Anywhere",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,13,2 (I worked at another similar position elsewhere before this one),None,Not Asked,24,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2014,SQL Server 2000,1M+ (metropolis),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/19/2019 10:06:14,  84.000 ,United States,74135,Microsoft SQL Server,6,"Microsoft Access, Azure SQL DB (any flavor)",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,4,1 (this is the only company where I've had this kind of position),None,Not Asked,6,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2012,300K-1M (large city),Private business,Not Asked,"Stay with the same employer,  but change roles",Female,Not Asked,Not Asked,1
2020,12/19/2019 9:53:43,  130.000 ,United States,85233,Microsoft SQL Server,14,Oracle,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",Yes,11,1 (this is the only company where I've had this kind of position),1,Not Asked,62,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2008,1M+ (metropolis),Local government,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/19/2019 9:28:38,  98.000 ,United Kingdom,BN1,Microsoft SQL Server,18,"Microsoft SQL Server, MongoDB, Microsoft Access, Amazon RDS (any flavor)",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,18,6 or more,None,Not Asked,4,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2008R2,1M+ (metropolis),Private business,Not Asked,"Stay with the same role, but change employers",Female,Not Asked,Not Asked,1
2020,12/19/2019 7:25:21,  105.000 ,United States,55102,Azure SQL DB,2,Microsoft SQL Server,Full time employee,Developer: T-SQL,No,30,6 or more,1,Not Asked,12,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2008,1M+ (metropolis),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/19/2019 6:44:23,  82.400 ,United Kingdom,OX1,Microsoft SQL Server,15,"Oracle, Microsoft Access",Full time employee,Manager,Yes,5,1 (this is the only company where I've had this kind of position),None,Not Asked,10,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2008R2,100K-299K (city),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/18/2019 20:32:34,  55.000 ,United States,24019,Microsoft SQL Server,1,Microsoft Access,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,3,1 (this is the only company where I've had this kind of position),1,Not Asked,5,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2014,SQL Server 2008R2,100K-299K (city),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/18/2019 18:34:55,  102.000 ,United States,76002,Microsoft SQL Server,10,"Azure SQL DB (any flavor), Amazon RDS (any flavor)",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,3,3,More than 5,Not Asked,1100,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2008R2,1M+ (metropolis),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/18/2019 18:28:06,  125.000 ,United States,75201,Microsoft SQL Server,19,"MySQL/MariaDB, Microsoft Access, SQLite, Azure SQL DB (any flavor), Informix, Borland DBase IV",Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",Yes,15,5,None,Not Asked,12,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2012,1M+ (metropolis),Private business,Not Asked,"Stay with the same employer,  but change roles",Male,Not Asked,Not Asked,1
2020,12/18/2019 18:15:21,  72.500 ,United States,64506,Microsoft SQL Server,5,"Oracle, Microsoft Access, Azure SQL DB (any flavor)",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,5,2 (I worked at another similar position elsewhere before this one),4,Not Asked,4000,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2019,SQL 2000,300K-1M (large city),Private business,Not Asked,"Stay with the same role, but change employers",Male,Not Asked,Not Asked,1
2020,12/18/2019 18:12:49,  110.000 ,United States,23321,Microsoft SQL Server,16,Microsoft SQL Server,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,18,4,None,Not Asked,17,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2014,300K-1M (large city),Federal government,Not Asked,"Stay with the same employer, same role",Female,Not Asked,Not Asked,1
2020,12/18/2019 17:37:50,  104.104 ,United States,99567,Microsoft SQL Server,20,,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,18,3,None,Not Asked,60,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2005,100K-299K (city),Non-profit,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/18/2019 16:36:10,  140.000 ,United States,27703,Microsoft SQL Server,13,"Azure SQL DB (any flavor), Amazon RDS (any flavor)",Full time employee,Data Scientist,Yes,3,1 (this is the only company where I've had this kind of position),3,Not Asked,120,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2017,300K-1M (large city),Private business,Not Asked,Change both employers and roles,Male,Not Asked,Not Asked,1
2020,12/18/2019 16:08:38,  79.000 ,United States,66202,Microsoft SQL Server,5,,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,3,1 (this is the only company where I've had this kind of position),3,Not Asked,4000,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL 2000,300K-1M (large city),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/18/2019 14:59:49,  80.000 ,United States,70508,Microsoft SQL Server,5,,Full time employee,"Developer: App code (C#, JS, etc)",No,1,2 (I worked at another similar position elsewhere before this one),3,Not Asked,8,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2012,100K-299K (city),Private business,Not Asked,"Stay with the same role, but change employers",Male,Not Asked,Not Asked,1
2020,12/18/2019 13:52:02,  115.000 ,United States,98101,Microsoft SQL Server,20,"Microsoft Access, Azure SQL DB (any flavor)",Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,21,6 or more,1,Not Asked,14,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2016,300K-1M (large city),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/18/2019 13:51:42,  70.000 ,Germany,,Microsoft SQL Server,12,Oracle,Full time employee,"Developer: App code (C#, JS, etc)",No,15,3,3,Not Asked,10,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2008,20K-99K (large town),Non-profit,Not Asked,"Stay with the same employer,  but change roles",Male,Not Asked,Not Asked,1
2020,12/18/2019 13:10:42,  105.000 ,United States,50325,Microsoft SQL Server,10,MySQL/MariaDB,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,10,3,1,Not Asked,20,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2008R2,300K-1M (large city),Private business,Not Asked,"Stay with the same employer,  but change roles",Female,Not Asked,Not Asked,1
2020,12/18/2019 11:59:54,  120.000 ,United States,62,Microsoft SQL Server,8,"Oracle, DB2",Full time employee,Architect,No,5,1 (this is the only company where I've had this kind of position),1,Not Asked,4,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2008R2,20K-99K (large town),Private business,Not Asked,"Stay with the same employer, same role",Female,Not Asked,Not Asked,1
2020,12/18/2019 11:04:49,  125.000 ,United States,77379,Microsoft SQL Server,19,Oracle,Full time employee,"Developer: App code (C#, JS, etc)",No,14,1 (this is the only company where I've had this kind of position),More than 5,Not Asked,120,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2012,SQL Server 2008R2,1M+ (metropolis),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/18/2019 10:49:20,  105.000 ,United States,48601,Microsoft SQL Server,16,Oracle,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,16,3,None,Not Asked,30,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2008,100K-299K (city),Private business,Not Asked,"Stay with the same employer,  but change roles",Male,Not Asked,Not Asked,1
2020,12/18/2019 4:54:43,  90.000 ,United States,33578,Microsoft SQL Server,8,"Microsoft SQL Server, Microsoft Access, Azure SQL DB (any flavor)",Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,3,6 or more,5,Not Asked,50000,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,2000,300K-1M (large city),Private business,Not Asked,Prefer not to say,Male,Not Asked,Not Asked,1
2020,12/18/2019 3:32:22,  30.000 ,Hungary,,Microsoft SQL Server,4,"Azure SQL DB (any flavor), Amazon RDS (any flavor)",Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,4,2 (I worked at another similar position elsewhere before this one),More than 5,Not Asked,1200,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2008R2,1M+ (metropolis),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/18/2019 2:46:43,  28.000 ,Spain,,Microsoft SQL Server,6,"Microsoft SQL Server, Oracle, MySQL/MariaDB",Full time employee,"Developer: App code (C#, JS, etc)",No,9,1 (this is the only company where I've had this kind of position),None,Not Asked,8,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2014,SQL Server 2012,100K-299K (city),Private business,Not Asked,"Stay with the same employer,  but change roles",Male,Not Asked,Not Asked,1
2020,12/18/2019 2:07:24,  65.000 ,United Kingdom,,Microsoft SQL Server,1,,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,1,1 (this is the only company where I've had this kind of position),1,Not Asked,2,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2014,1M+ (metropolis),Private business,Not Asked,Prefer not to say,Prefer not to say,Not Asked,Not Asked,1
2020,12/18/2019 0:43:47,  50.000 ,Poland,,Microsoft SQL Server,15,"MySQL/MariaDB, PostgreSQL, Azure SQL DB (any flavor), CosmosDB",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,11,3,1,Not Asked,20,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2008R2,300K-1M (large city),Private business,Not Asked,"Stay with the same employer,  but change roles",Male,Not Asked,Not Asked,1
2020,12/17/2019 22:18:51,  101.230 ,United States,78735,Microsoft SQL Server,7,Microsoft SQL Server,Full time employee,Engineer,No,9,2 (I worked at another similar position elsewhere before this one),None,Not Asked,20,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2012,100K-299K (city),Private business,Not Asked,"Stay with the same employer,  but change roles",Female,Not Asked,Not Asked,1
2020,12/17/2019 20:31:29,  143.000 ,United States,16055,Microsoft SQL Server,15,,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,15,1 (this is the only company where I've had this kind of position),3,Not Asked,200,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2012,"<= 20,000 (town)",Non-profit,Not Asked,"Stay with the same employer,  but change roles",Male,Not Asked,Not Asked,1
